(-1.18834,-2.68894),(20547.2,0)
(-2.0915,-2.91805),(15532.5,0)
(-0.324936,-2.63262),(24328,0)
(-0.375029,-2.36432),(28281.6,0)
(-1.4183,-2.69099),(19549.4,0)
(-0.32406,-2.97833),(20400.6,0)
(-0.964797,-2.59749),(22392.2,0)
(-0.295804,-2.56437),(25419.3,0)
(-0.769831,-2.75813),(21429.8,0)
(-1.06839,-2.40208),(24239.7,0)
(-0.634003,-2.32743),(27741,0)
(-1.55784,-3.01807),(16841.5,0)
(-0.759327,-2.31272),(27399,0)
(-0.435168,-2.43828),(26717.3,0)
(-0.517828,-2.50692),(25331.3,0)
(-0.821218,-2.41394),(25379.7,0)
(-0.705626,-3.29435),(17237.3,0)
(-0.437792,-2.65468),(23640.9,0)
(-0.479761,-2.89023),(20917.8,0)
(-0.904111,-2.39324),(25264.3,0)
(-1.45857,-3.34029),(15412.1,0)
(-0.386849,-2.51147),(25784.9,0)
(-0.384484,-2.3543),(28427.6,0)
(-1.19782,-2.46256),(22774,0)
(-0.286684,-2.53842),(25870.9,0)
(-0.739581,-2.5655),(23686.1,0)
(-1.33473,-2.7664),(19309.2,0)
(-1.60516,-2.88865),(17440.7,0)
(-1.98924,-2.44212),(18475.8,0)
(-0.257425,-2.38414),(28523.1,0)
(-1.1977,-2.37373),(23852.6,0)
(-0.384611,-2.30602),(29431.9,0)
(-1.17592,-2.45762),(22950.2,0)
(-0.569298,-2.4007),(26754.1,0)
(-1.66789,-2.87098),(17315.1,0)
(-0.790335,-3.64827),(15080.8,0)
(-0.30497,-2.89971),(21216.9,0)
(-1.27056,-2.79918),(19303.2,0)
(-1.18577,-2.72488),(20241.5,0)
(-0.326254,-2.80117),(22236.5,0)
(-0.868396,-2.46719),(24400.4,0)
(-1.10901,-2.50368),(22771.8,0)
(-1.1404,-2.498),(22676.7,0)
(-1.57895,-2.74612),(18459,0)
(-0.27601,-2.35878),(28895.7,0)
(-0.913058,-2.61423),(22423,0)
(-0.261664,-2.84911),(21860.8,0)
(-0.76427,-2.58071),(23402.6,0)
(-1.07024,-2.34108),(25094.6,0)
(-0.783674,-2.41154),(25598.5,0)
(-0.382603,-2.38953),(27782.1,0)
(-0.361266,-2.65697),(23872.1,0)
(-1.03618,-2.68793),(21172.3,0)
(-0.930441,-3.35341),(16470,0)
(-0.270373,-2.45535),(27352.8,0)
(-0.680008,-2.31027),(27839.3,0)
(-0.257371,-2.6728),(24103.2,0)
(-0.757423,-2.31987),(27270.6,0)
(-0.738621,-3.48175),(16040.8,0)
(-0.270502,-2.41883),(27878.1,0)
(-0.665985,-2.52646),(24480.6,0)
(-0.859361,-2.32975),(26524.7,0)
(-0.629345,-2.44838),(25740.1,0)
(-1.00981,-2.4913),(23410.3,0)
(-1.08136,-2.34126),(25023.2,0)
(-2.10734,-2.45103),(17784.6,0)
(-0.669388,-3.06543),(18956.2,0)
(-1.07098,-2.35395),(24898.5,0)
(-0.497157,-2.41386),(26851.5,0)
(-0.433231,-2.61492),(24164.2,0)
(-1.16779,-2.52573),(22234.2,0)
(-1.88408,-2.402),(19350.3,0)
(-0.995175,-2.76888),(20567.7,0)
(-0.292567,-2.51507),(26195.2,0)
(-0.444116,-2.62533),(23991.8,0)
(-0.286239,-2.59577),(25006.9,0)
(-0.793086,-2.40292),(25684.1,0)
(-1.12642,-2.74547),(20293.8,0)
(-0.897954,-2.31382),(26588.3,0)
(-0.406521,-2.35818),(28246.8,0)
(-1.44021,-2.46674),(21386.9,0)
(-0.297694,-2.3731),(28502.6,0)
(-1.37167,-2.44421),(22000.3,0)
(-2.00719,-2.54708),(17749.5,0)
(-0.310174,-2.8903),(21302.8,0)
(-2.49441,-0.501979),(23787.7,0)
(-2.73358,-0.991875),(19245.8,0)
(-2.45496,-0.159859),(25358.6,0)
(-2.77999,-0.679905),(19756.8,0)
(-3.10047,-0.819774),(16772.2,0)
(-3.26748,-0.180827),(16496.7,0)
(-2.55072,-1.78344),(17206.9,0)
(-2.49291,-1.99428),(16524,0)
(-2.63793,-1.17352),(19427.5,0)
(-2.62589,-2.05374),(15524.3,0)
(-2.58188,-1.5556),(18104.9,0)
(-3.03641,-1.47935),(15467.7,0)
(-2.85368,-1.03791),(18057.2,0)
(-2.44051,-1.89385),(17380.4,0)
(-2.57736,-1.54697),(18181.7,0)
(-2.718,-0.394426),(21090.7,0)
(-2.73507,-0.790675),(19892.4,0)
(-2.56624,-1.75275),(17254.2,0)
(-3.0052,-1.24757),(16339.2,0)
(-2.45231,-1.01268),(22362.2,0)
(-3.76197,-2.16909),(11090.9,0)
(-2.53573,-0.136114),(24089.9,0)
(-2.47811,-0.534932),(23962.6,0)
